artist_id,artist_name,why
1444686,,before_classif
78087272,,before_classif
4324427,,before_classif
10768140,,before_classif
208293797,,before_classif
10225328,,before_classif
4849524,,before_classif
201310,,before_classif
1477931,,before_classif
4133805,,before_classif
212858087,,before_classif
119307842,,before_classif
4849521,,before_classif
13192437,,before_classif
5642649,,before_classif
216279485,,before_classif
1182429,Musique Romantique Ensemble,before_classif
8982082,Spa Musique Massage,before_classif
51155092,Musique Douce,before_classif
14291987,Focus concentration musique,before_classif
4545404,Musique Triste Piano,before_classif
153562652,Musique du Spa,before_classif
8693732,Musique Coeur de la Nature,before_classif
13608477,Musique Jazz Détente Club,before_classif
10602925,Instrumental Jazz Musique d'Ambiance,before_classif
9148876,Maîtres de Musique Tantriques,before_classif
148391,L'Intégrale Des Musiques De Films,before_classif
9102984,Groupe de musique de sommeil profond,before_classif
71970822,Musique Relaxation,before_classif
4811198,"Musique De Relaxation, Bruit De La Mer, Bruits De L'eau, Bruits De Vagues & Mer",before_classif
1219680,Various Musique,before_classif
4890308,Musique Piano Spa,before_classif
1186271,Musique Celtique Ensemble,before_classif
138736042,Boîte à Musique de Bébé,before_classif
13959125,Musique Relaxante & Bedtime Baby,before_classif
259458,Collection musiques douces pour les tout-petits,before_classif
10413538,Erotique Chillout Musique Café,before_classif
9209016,Relaxante musique de méditation profonde,before_classif
3876711,Musique de Gym Club,before_classif
14708145,Musique Douce Ensemble & Musique de Relaxation,before_classif
1518112,Musique Triste,before_classif
153568902,Musique de Concentration Pour Le Travail,before_classif
1186743,Musique Japonaise Ensemble,before_classif
58829,Musique De La Garde Républicaine,before_classif
57703,La Musique De Bébé,before_classif
11824181,Académie de Musique des Oiseaux,before_classif
114857462,Musique de Noel,before_classif
4811197,"Musique De Relaxation, Musique & Relaxation",before_classif
100943522,Chant d'Oiseaux,before_classif
11820845,Ensemble de Musique Calme,before_classif
11676107,Ensamble de Musique Méditation,before_classif
11473610,Musique Thérapeutique Naturelles,before_classif
7588390,Musique chinoise,before_classif
147726392,Musique Calmante Pour Chiens,before_classif
137126942,Musique pour la Concentration,before_classif
11174686,Petits Yogis Musique Masters,before_classif
8777152,Musique de Relaxation Grossesse,before_classif
1460998,Musique Relaxante Relax,before_classif
115501232,Musique Relaxante 101,before_classif
8561934,Flute Music Group,before_classif
6503237,Tabata Music,before_classif
80416182,Chill Beats Music,before_classif
12181468,My Music Family,before_classif
